YEAR,HOST,CHAMPION,TEAMS,AVG GOALS PER GAME,Host_Continent
1930,Uruguay,Uruguay,13,3.6,South America
1934,Italy,Italy,16,4.1,Europe
1938,France,Italy,15,4.7,Europe
1950,Brazil,Uruguay,13,4.0,South America
1954,Switzerland,West Germany,16,5.4,Europe
1958,Sweden,Brazil,16,3.6,Europe
1962,Chile,Brazil,16,2.8,South America
1966,England,England,16,2.8,Europe
1970,Mexico,Brazil,16,3.0,North America
1974,West Germany,West Germany,16,2.6,Europe
1978,Argentina,Argentina,16,2.7,South America
1982,Spain,Italy,24,2.8,Europe
1986,Mexico,Argentina,24,2.5,North America
1990,Italy,West Germany,24,2.2,Europe
1994,United States,Brazil,24,2.7,North America
1998,France,France,32,2.7,Europe
2002,"South Korea, Japan",Brazil,32,2.5,Asia/Africa
2006,Germany,Italy,32,2.3,Europe
2010,South Africa,Spain,32,2.3,Asia/Africa
2014,Brazil,Germany,32,2.7,South America
2018,Russia,France,32,2.6,Asia/Africa
2022,Qatar,Argentina,32,2.7,North America
